@RELATION atributos_pacotes

@ATTRIBUTE tamtotal_med_pacote			NUMERIC
@ATTRIBUTE desv_padrao_tamtotal			NUMERIC
@ATTRIBUTE variancia_tamtotal			NUMERIC
@ATTRIBUTE tamtotal_pacote_maior		NUMERIC
@ATTRIBUTE tamtotal_pacote_menor		NUMERIC
@ATTRIBUTE com_med_cabecalhoIP			NUMERIC
@ATTRIBUTE codigo_protocolo				NUMERIC
@ATTRIBUTE srcporta						NUMERIC
@ATTRIBUTE dstporta						NUMERIC
@ATTRIBUTE class 						{p2p,ssl,web,ftp,dns}

@DATA
66.33333,17.61886,310.42424,122.0,60.0,57.66667,6,49760,21475,p2p
67.55556,20.43961,417.77778,122.0,60.0,56.66667,6,49853,21475,p2p
64.37500,15.39210,236.91667,122.0,60.0,56.00000,6,49934,21475,p2p
66.90909,18.36004,337.09091,122.0,60.0,58.00000,6,50041,21475,p2p
66.18182,18.53547,343.56364,122.0,60.0,56.18182,6,50137,21475,p2p
67.55556,20.43961,417.77778,122.0,60.0,56.66667,6,50278,31158,p2p
347.30952,525.38690,276031.38966,1506.0,60.0,56.28571,6,49679,19999,p2p
394.02703,522.97485,273502.69369,1506.0,60.0,58.21622,6,50014,19999,p2p
126.29412,116.92560,13671.59559,421.0,60.0,55.64706,6,50138,19999,p2p
67.33333,20.51828,421.00000,122.0,60.0,55.77778,6,50176,19999,p2p
68.25000,21.73707,472.50000,122.0,60.0,56.00000,6,50583,34658,p2p
68.25000,21.73707,472.50000,122.0,60.0,56.00000,6,50786,34658,p2p
68.25000,21.73707,472.50000,122.0,60.0,56.00000,6,50868,34658,p2p
68.25000,21.73707,472.50000,122.0,60.0,56.00000,6,50956,34658,p2p
830.36986,702.55202,493579.34727,1506.0,66.0,68.61644,6,48165,17148,p2p
68.25000,21.73707,472.50000,122.0,60.0,56.00000,6,50547,57524,p2p
119.52941,129.01556,16645.01471,559.0,60.0,54.94118,6,50781,57524,p2p
170.00000,169.47492,28721.75000,577.0,60.0,55.77778,6,50867,57524,p2p
68.25000,21.73707,472.50000,122.0,60.0,56.00000,6,50953,57524,p2p
278.28571,448.02100,200722.81429,1506.0,60.0,55.14286,6,49739,20019,p2p
67.36842,19.31094,372.91228,122.0,60.0,56.73684,6,49852,20019,p2p
67.33333,20.51828,421.00000,122.0,60.0,55.77778,6,49930,20019,p2p
104.76923,96.45651,9303.85897,337.0,60.0,55.23077,6,50023,20019,p2p
438.97297,556.76000,309981.69369,1470.0,60.0,54.43243,6,20019,50127,p2p
